Time,Theta,Phi
0.0,292,34.0
0.04096,292,34.5
0.08192,293,34.5
0.12288,293,35.0
0.16384,294,35.0
0.2048,294,35.5
0.24576,294,36.5
0.28672,295,37.0
0.32768,295,37.5
0.36864,161,89.5
0.4096,296,39.5
0.45056,296,39.0
0.49152,296,40.0
0.53248,297,42.0
0.57344,297,41.5
0.6144,298,42.5
0.65536,299,41.0
0.69632,299,40.5
0.73728,299,42.5
0.77824,300,42.5
0.8192,63,88.5
0.86016,302,44.0
0.90112,301,45.0
0.94208,315,89.5
0.98304,302,45.0
1.024,303,45.5
1.06496,305,46.5
1.10592,304,46.0
1.14688,305,46.0
1.18784,305,46.0
1.2288,304,46.0
1.26976,306,46.5
1.31072,305,43.5
1.35168,308,48.0
1.39264,309,48.0
1.4336,311,49.5
1.47456,311,48.5
1.51552,331,88.5
1.55648,312,54.5
1.59744,184,89.5
1.6384,273,89.5
1.67936,315,49.5
1.72032,190,89.0
1.76128,316,52.0
1.80224,318,52.0
1.8432,321,53.0
1.88416,324,55.5
1.92512,322,54.5
1.96608,324,54.5
2.00704,322,54.5
2.048,325,54.5
2.08896,326,55.5
2.12992,337,88.5
2.17088,87,88.0
2.21184,331,56.5
2.2528,334,57.5
2.29376,336,57.5
2.33472,338,79.5
2.37568,329,87.0
2.41664,291,89.0
2.4576,217,89.5
2.49856,342,60.0
2.53952,154,89.5
2.58048,345,62.5
2.62144,344,80.0
2.6624,349,61.5
2.70336,0,89.5
2.74432,353,81.5
2.78528,352,85.0
2.82624,357,62.0
2.8672,358,82.5
2.90816,359,64.0
2.94912,13,89.0
2.99008,3,57.5
3.03104,6,61.0
3.072,355,89.0
3.11296,345,89.0
3.15392,1,87.5
3.19488,224,89.5
3.23584,193,87.0
3.2768,18,60.0
3.31776,22,59.0
3.35872,19,88.5
3.39968,17,88.5
3.44064,218,88.5
3.4816,26,58.0
3.52256,26,58.0
3.56352,26,89.5
3.60448,257,89.5
3.64544,33,56.5
3.6864,33,56.5
3.72736,34,56.0
3.76832,36,55.0
3.80928,38,55.5
3.85024,40,55.0
3.8912,41,54.5
3.93216,39,55.0
3.97312,75,89.0
4.01408,29,89.5
4.05504,122,89.5
4.096,44,52.5
4.13696,46,52.0
4.17792,47,51.0
4.21888,57,89.5
4.25984,48,51.0
4.3008,237,89.5
4.34176,50,47.0
4.38272,52,49.0
4.42368,51,48.5
4.46464,54,50.5
4.5056,55,46.5
4.54656,55,48.5
4.58752,57,44.5
4.62848,280,89.5
4.66944,56,47.5
4.7104,59,44.0
4.75136,58,44.0
4.79232,58,41.0
4.83328,60,43.0
4.87424,60,42.5
4.9152,61,42.0
