Time,Theta,Phi
0.0,292,33.0
0.04096,292,33.5
0.08192,293,34.0
0.12288,293,34.0
0.16384,294,34.5
0.2048,294,35.0
0.24576,294,35.5
0.28672,295,36.0
0.32768,295,36.0
0.36864,296,37.0
0.4096,296,37.5
0.45056,296,37.5
0.49152,297,38.0
0.53248,297,38.5
0.57344,298,39.0
0.6144,298,39.5
0.65536,298,40.0
0.69632,299,40.5
0.73728,299,40.5
0.77824,300,41.5
0.8192,300,41.5
0.86016,301,42.0
0.90112,301,43.0
0.94208,302,43.0
0.98304,302,43.5
1.024,303,44.0
1.06496,303,44.5
1.10592,304,45.0
1.14688,305,45.5
1.18784,305,46.0
1.2288,306,46.5
1.26976,306,47.0
1.31072,307,48.0
1.35168,308,48.0
1.39264,309,48.5
1.4336,310,49.0
1.47456,311,49.5
1.51552,311,50.0
1.55648,312,50.5
1.59744,313,50.5
1.6384,314,51.0
1.67936,315,51.5
1.72032,315,52.0
1.76128,316,52.5
1.80224,318,53.0
1.8432,319,53.0
1.88416,320,53.5
1.92512,321,54.0
1.96608,323,54.5
2.00704,324,55.0
2.048,325,55.5
2.08896,326,55.5
2.12992,328,56.0
2.17088,329,56.5
2.21184,331,57.0
2.2528,332,57.5
2.29376,333,58.0
2.33472,335,58.0
2.37568,336,58.5
2.41664,338,58.5
2.4576,339,59.0
2.49856,22,89.5
2.53952,342,59.5
2.58048,345,60.5
2.62144,350,89.0
2.6624,349,60.5
2.70336,350,62.0
2.74432,353,82.5
2.78528,354,82.5
2.82624,354,82.5
2.8672,149,89.5
2.90816,355,89.0
2.94912,2,60.5
2.99008,171,89.5
3.03104,29,89.5
3.072,8,60.5
3.11296,10,61.0
3.15392,11,61.0
3.19488,13,61.0
3.23584,15,60.5
3.2768,17,60.5
3.31776,19,60.5
3.35872,20,59.5
3.39968,22,59.5
3.44064,23,60.0
3.4816,25,59.5
3.52256,26,59.0
3.56352,29,58.5
3.60448,30,58.0
3.64544,31,57.5
3.6864,33,57.0
3.72736,34,56.5
3.76832,35,56.0
3.80928,37,56.0
3.85024,38,55.5
3.8912,40,55.0
3.93216,41,54.5
3.97312,42,54.0
4.01408,43,53.5
4.05504,44,53.0
4.096,45,52.5
4.13696,46,52.0
4.17792,47,52.0
4.21888,48,52.0
4.25984,49,51.0
4.3008,50,50.5
4.34176,51,50.0
4.38272,52,50.0
4.42368,52,49.5
4.46464,53,49.0
4.5056,54,48.5
4.54656,55,48.0
4.58752,56,47.5
4.62848,56,47.0
4.66944,57,46.5
4.7104,58,46.0
4.75136,58,45.5
4.79232,59,45.0
4.83328,59,44.5
4.87424,60,44.0
4.9152,61,43.5
