Time,Theta,Phi
0.0,307,37.5
0.04096,307,36.5
0.08192,307,36.5
0.12288,307,36.5
0.16384,307,36.5
0.2048,307,36.5
0.24576,307,36.0
0.28672,306,37.0
0.32768,306,35.5
0.36864,306,36.0
0.4096,306,35.5
0.45056,306,35.5
0.49152,306,36.0
0.53248,306,35.5
0.57344,306,35.0
0.6144,306,35.0
0.65536,306,34.5
0.69632,305,34.5
0.73728,305,34.5
0.77824,305,34.5
0.8192,305,34.5
0.86016,305,34.5
0.90112,305,34.5
0.94208,305,35.0
0.98304,305,34.5
1.024,305,34.5
1.06496,305,34.5
1.10592,305,35.0
1.14688,305,34.0
1.18784,305,34.0
1.2288,304,34.0
1.26976,304,34.5
1.31072,304,34.0
1.35168,304,34.0
1.39264,304,34.0
1.4336,304,33.5
1.47456,304,34.0
1.51552,304,33.5
1.55648,303,32.5
1.59744,303,33.5
1.6384,303,32.5
1.67936,303,32.5
1.72032,302,33.0
1.76128,302,33.0
1.80224,302,34.0
1.8432,332,89.5
1.88416,302,34.0
1.92512,302,33.0
1.96608,302,33.5
2.00704,301,33.0
2.048,301,32.5
2.08896,301,33.0
2.12992,301,32.5
2.17088,301,32.0
2.21184,301,32.5
2.2528,301,32.5
2.29376,301,32.5
2.33472,300,32.5
2.37568,300,32.5
2.41664,300,32.5
2.4576,300,32.0
2.49856,300,32.5
2.53952,300,33.0
2.58048,300,32.5
2.62144,300,32.5
2.6624,300,32.5
2.70336,300,32.5
2.74432,300,32.5
2.78528,300,31.5
2.82624,300,31.0
2.8672,299,33.0
2.90816,299,32.5
2.94912,299,31.5
2.99008,299,32.0
3.03104,298,31.5
3.072,298,31.5
3.11296,298,33.5
3.15392,298,32.0
3.19488,298,32.0
3.23584,297,31.0
3.2768,297,32.0
3.31776,297,31.0
3.35872,297,32.0
3.39968,297,32.0
3.44064,297,32.0
3.4816,297,31.5
3.52256,296,31.0
3.56352,296,31.5
3.60448,296,32.0
3.64544,296,34.0
3.6864,296,31.5
3.72736,296,31.5
3.76832,295,31.0
3.80928,295,32.0
3.85024,295,31.0
3.8912,295,31.5
3.93216,295,31.5
3.97312,294,30.5
4.01408,295,31.5
4.05504,294,31.5
4.096,294,30.0
4.13696,294,30.0
4.17792,294,30.5
4.21888,294,30.5
4.25984,294,29.5
4.3008,293,30.0
4.34176,293,30.0
4.38272,293,30.5
4.42368,293,30.0
4.46464,293,30.5
4.5056,293,29.5
4.54656,293,29.5
4.58752,293,28.5
4.62848,292,28.0
4.66944,293,28.0
4.7104,292,27.0
4.75136,292,28.5
4.79232,292,28.5
4.83328,292,29.5
4.87424,292,28.5
4.9152,292,27.5
