Time,Theta,Phi
0.0,252.0,45.0
0.04096,252.0,46.0
0.08192,252.0,46.0
0.12288,252.0,46.0
0.16384,252.0,47.0
0.2048,252.0,48.0
0.24576,252.0,48.0
0.28672,252.0,48.0
0.32768,252.0,49.0
0.36864,252.0,50.0
0.4096,252.0,50.0
0.45056,252.0,51.0
0.49152,250.00000000000003,51.0
0.53248,250.00000000000003,52.00000000000001
0.57344,250.00000000000003,52.00000000000001
0.6144,250.00000000000003,53.0
0.65536,250.00000000000003,53.0
0.69632,250.00000000000003,54.0
0.73728,250.00000000000003,54.0
0.77824,248.0,55.0
0.8192,248.0,56.0
0.86016,248.0,56.0
0.90112,248.0,57.00000000000001
0.94208,248.0,57.00000000000001
0.98304,248.0,58.0
1.024,246.00000000000003,59.00000000000001
1.06496,246.00000000000003,59.00000000000001
1.10592,246.00000000000003,59.99999999999999
1.14688,246.00000000000003,61.0
1.18784,246.00000000000003,61.0
1.2288,244.0,62.0
1.26976,244.0,62.0
1.31072,244.0,63.0
1.35168,242.0,64.0
1.39264,242.0,65.0
1.4336,242.0,65.0
1.47456,239.99999999999997,66.0
1.51552,239.99999999999997,66.0
1.55648,239.99999999999997,67.00000000000001
1.59744,239.99999999999997,68.0
1.6384,238.0,68.0
1.67936,238.0,68.99999999999999
1.72032,236.00000000000003,70.0
1.76128,236.00000000000003,71.0
1.80224,234.0,71.0
1.8432,232.0,72.0
1.88416,232.0,73.0
1.92512,229.99999999999997,74.0
1.96608,228.00000000000003,74.0
2.00704,226.00000000000003,74.0
2.048,224.0,75.00000000000001
2.08896,224.0,75.00000000000001
2.12992,220.0,77.00000000000001
2.17088,220.0,77.00000000000001
2.21184,216.0,78.0
2.2528,212.0,78.0
2.29376,210.0,78.0
2.33472,204.0,79.0
2.37568,200.0,79.0
2.41664,198.00000000000003,80.0
2.4576,192.0,80.0
2.49856,190.0,80.0
2.53952,182.0,81.0
2.58048,180.0,81.0
2.62144,170.0,81.0
2.6624,168.0,81.0
2.70336,164.0,81.0
2.74432,156.0,80.0
2.78528,154.00000000000003,80.0
2.82624,150.00000000000003,80.0
2.8672,144.0,80.0
2.90816,140.0,80.0
2.94912,136.0,79.0
2.99008,132.0,78.0
3.03104,130.0,78.0
3.072,128.0,77.00000000000001
3.11296,126.0,77.00000000000001
3.15392,124.0,76.0
3.19488,119.99999999999999,76.0
3.23584,118.00000000000001,75.00000000000001
3.2768,116.0,75.00000000000001
3.31776,114.00000000000001,73.0
3.35872,114.00000000000001,73.0
3.39968,112.0,72.0
3.44064,110.0,72.0
3.4816,110.0,70.0
3.52256,110.0,70.0
3.56352,108.0,70.0
3.60448,108.0,68.99999999999999
3.64544,108.0,68.0
3.6864,106.0,67.00000000000001
3.72736,106.0,67.00000000000001
3.76832,104.00000000000001,66.0
3.80928,104.00000000000001,65.0
3.85024,102.0,65.0
3.8912,102.0,64.0
3.93216,102.0,64.0
3.97312,102.0,63.0
4.01408,102.0,62.0
4.05504,100.0,62.0
4.096,100.0,62.0
4.13696,100.0,61.0
4.17792,100.0,59.99999999999999
4.21888,100.0,59.99999999999999
4.25984,100.0,59.00000000000001
4.3008,98.0,59.00000000000001
4.34176,98.0,58.0
4.38272,98.0,57.00000000000001
4.42368,98.0,57.00000000000001
4.46464,98.0,56.0
4.5056,98.0,55.0
4.54656,96.0,55.0
4.58752,96.0,55.0
4.62848,96.0,54.0
4.66944,96.0,53.0
4.7104,96.0,53.0
4.75136,96.0,52.00000000000001
4.79232,96.0,51.0
4.83328,96.0,51.0
4.87424,94.0,51.0
