N,F,e
1,180,78
1,360,78
1,540,81
1,720,47
1,900,97
1,1080,72
1,1260,65
1,1440,37
1,1620,47
2,180,70
2,360,65
2,540,46
2,720,37
2,900,41
2,1080,42
2,1260,34
2,1440,32
2,1620,40
3,180,32
3,360,41
3,540,36
3,720,29
3,900,40
3,1080,31
3,1260,30
3,1440,30
3,1620,31
4,180,31
4,360,40
4,540,35
4,720,29
4,900,36
4,1080,32
4,1260,27
4,1440,26
4,1620,32
5,180,32
5,360,35
5,540,33
5,720,29
5,900,31
5,1080,29
5,1260,31
5,1440,30
5,1620,29
6,180,33
6,360,36
6,540,30
6,720,29
6,900,32
6,1080,33
6,1260,31
6,1440,27
6,1620,30
7,180,32
7,360,36
7,540,30
7,720,29
7,900,31
7,1080,32
7,1260,29
7,1440,26
7,1620,29
8,180,33
8,360,37
8,540,31
8,720,29
8,900,31
8,1080,31
8,1260,29
8,1440,27
8,1620,30
9,180,32
9,360,36
9,540,29
9,720,29
9,900,31
9,1080,30
9,1260,30
9,1440,26
9,1620,31
10,180,32
10,360,36
10,540,29
10,720,28
10,900,31
10,1080,30
10,1260,30
10,1440,28
10,1620,31
