N,F,e
1,160,96
1,320,68
1,480,90
1,640,71
1,800,84
1,960,130
1,1120,136
1,1280,79
1,1440,62
2,160,74
2,320,24
2,480,49
2,640,52
2,800,51
2,960,72
2,1120,81
2,1280,52
2,1440,28
3,160,69
3,320,20
3,480,36
3,640,45
3,800,40
3,960,70
3,1120,71
3,1280,38
3,1440,20
4,160,68
4,320,20
4,480,27
4,640,24
4,800,27
4,960,46
4,1120,61
4,1280,34
4,1440,17
5,160,69
5,320,19
5,480,22
5,640,22
5,800,24
5,960,44
5,1120,47
5,1280,33
5,1440,17
6,160,71
6,320,19
6,480,17
6,640,19
6,800,19
6,960,26
6,1120,40
6,1280,28
6,1440,16
7,160,64
7,320,18
7,480,17
7,640,17
7,800,17
7,960,18
7,1120,28
7,1280,26
7,1440,16
