N,F,e
1,160,86
1,320,63
1,480,87
1,640,63
1,800,85
1,960,130
1,1120,136
1,1280,78
1,1440,58
2,160,68
2,320,11
2,480,41
2,640,45
2,800,44
2,960,68
2,1120,80
2,1280,44
2,1440,28
3,160,61
3,320,9
3,480,27
3,640,33
3,800,31
3,960,59
3,1120,62
3,1280,29
3,1440,12
4,160,65
4,320,6
4,480,13
4,640,13
4,800,18
4,960,38
4,1120,53
4,1280,21
4,1440,8
5,160,59
5,320,7
5,480,7
5,640,7
5,800,18
5,960,33
5,1120,44
5,1280,21
5,1440,5
6,160,63
6,320,7
6,480,5
6,640,5
6,800,8
6,960,15
6,1120,28
6,1280,16
6,1440,5
7,160,64
7,320,7
7,480,5
7,640,4
7,800,8
7,960,5
7,1120,16
7,1280,15
7,1440,4
8,160,63
8,320,7
8,480,5
8,640,4
8,800,6
8,960,3
8,1120,15
8,1280,12
8,1440,3
9,160,69
9,320,7
9,480,6
9,640,4
9,800,5
9,960,2
9,1120,8
9,1280,12
9,1440,4
