time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
0,51.5198020935059,5.86039733886719,8.694226,8.694226,96.242380704428,104.93660670443,0,0.132149914828,0,0,26,4,104.93660670443,8.694226,0.132149914828,0,0,0,0.671082,319.4,-3.3,-0.4,0,0,1024,1024,1353,1024,0,0,50,0,319.69,0,104.93660670443,8.694226,5,GPS_Blake
200,51.5198020935059,5.86039733886719,10.990814,10.990814,96.242380704428,107.23319470443,0,0.121702733946,0,0,26,4,107.23319470443,10.990814,0.132149914828,0,0,0,0.894776,318.7,-2.8,-0.7,0,0,1024,1024,1024,1024,0,0,0,0,318.55,0,107.23319470443,10.990814,5,GPS_Blake
400,51.5198020935059,5.86039781570435,13.0905516,13.0577432,96.275189104428,109.33293230443,0,0.184815088024,0.108254268556,0.108254268556,26,4,109.33293230443,13.0905516,0.184815088024,0.108254268556,0,0,0.671082,318.8,-3.4,-0.5,0,0,1024,1024,1024,1024,0,0,0,0,318.55,0,109.33293230443,13.0905516,5,GPS_Blake
600,51.5198020935059,5.86039781570435,14.5669296,14.5341212,96.275189104428,110.80931030443,0,0.2469358066,0.108254268556,0.108254268556,26,4,110.80931030443,14.5669296,0.2469358066,0.108254268556,0,0,0.447388,318.7,-4,-0.5,0,0,1024,1037,1024,1024,0,2,0,0,318.55,0,110.80931030443,14.5669296,5,GPS_Blake
800,51.5198020935059,5.8603982925415,15.3871396,15.3543312,96.275189104428,111.62952030443,0,0.215490693632,0.216508209028,0.216508209028,26,4,111.62952030443,15.3871396,0.2469358066,0.216508209028,0,0,0.223694,318.7,-4.4,-0.6,0,0,1024,1074,1024,1024,0,8,0,0,318.55,0,111.62952030443,15.3871396,5,GPS_Blake
1000,51.5198020935059,5.8603982925415,15.748032,15.7152236,96.275189104428,111.99041270443,0,0.122113212436,0.216508209028,0.216508209028,26,4,111.99041270443,15.748032,0.2469358066,0.216508209028,0,0,0,318.6,-4.1,-0.6,0,0,1024,1171,1024,1024,0,22,0,0,318.55,0,111.99041270443,15.748032,5,GPS_Blake
1200,51.5198020935059,5.8603982925415,15.8792656,15.8464572,96.275189104428,112.12164630443,0,0.052793573552,0.216508209028,0.216508209028,26,4,112.12164630443,15.8792656,0.2469358066,0.216508209028,0,0,0,318.6,-3.6,-0.5,0,0,1024,1199,1024,1024,0,27,0,0,318.55,0,112.12164630443,15.8792656,5,GPS_Blake
1400,51.5198020935059,5.8603982925415,15.9448824,15.912074,96.275189104428,112.18726310443,0,0.092231496834,0.216508209028,0.216508209028,26,4,112.18726310443,15.9448824,0.2469358066,0.216508209028,0,0,0,318.6,-3.3,-0.6,0,0,1024,1376,1024,1024,0,53,0,0,318.56,0,112.18726310443,15.9448824,5,GPS_Blake
1600,51.5198020935059,5.8603982925415,15.9776908,15.9448824,96.275189104428,112.22007150443,0,0.127819198988,0.216508209028,0.216508209028,26,4,112.22007150443,15.9776908,0.2469358066,0.216508209028,0,0,0,318.6,-2.9,-0.6,0,0,1024,1513,1024,1024,0,74,0,0,318.56,0,112.22007150443,15.9776908,5,GPS_Blake
1800,51.5198020935059,5.8603982925415,15.9776908,15.9448824,96.275189104428,112.22007150443,0,0.149674550176,0.216508209028,0.216508209028,26,4,112.22007150443,15.9776908,0.2469358066,0.216508209028,0,0,0,318.7,-2.6,-0.2,0,0,1024,1689,1024,1024,0,100,0,0,318.56,0,112.22007150443,15.9776908,5,GPS_Blake
2000,51.5198020935059,5.8603982925415,15.9776908,15.9448824,96.275189104428,112.22007150443,0,0.36730778494,0.216508209028,0.216508209028,26,4,112.22007150443,15.9776908,0.36730778494,0.216508209028,0,0,0,318.7,-2.6,5.2,0,0,1024,1689,1024,1024,0,100,0,0,318.58,0,112.22007150443,15.9776908,5,GPS_Blake
2200,51.5198020935059,5.86039876937866,15.9776908,15.9448824,96.275189104428,112.22007150443,0,0.73580338502,0.324762477584,0.324762477584,26,4,112.22007150443,15.9776908,0.73580338502,0.324762477584,0,0,0,318.7,-2.5,5.9,0,0,1024,944,1024,1024,0,-12,0,0,318.58,0,112.22007150443,15.9776908,5,GPS_Blake
2400,51.5198020935059,5.86039972305298,15.9776908,15.912074,96.307997504428,112.22007150443,0,0.87973481544,0.54126970236,0.54126970236,26,4,112.22007150443,15.9776908,0.87973481544,0.54126970236,0,0,0,318.7,-2.6,-1.7,0,0,1024,371,1024,1024,0,-99,0,0,318.58,0,112.22007150443,15.9776908,5,GPS_Blake
2600,51.5198059082031,5.86040067672729,15.9448824,15.8136488,96.373614304428,112.18726310443,0,0.66450315946,1.5847113368,1.94979993116,26,4,112.22007150443,15.9776908,0.87973481544,1.5847113368,0,0,0,318.5,-2.9,-3.6,0,0,1024,359,1024,1024,0,-100,0,0,318.58,0,112.18726310443,15.9448824,5,GPS_Blake
2800,51.5198059082031,5.86040115356445,15.9448824,15.8136488,96.373614304428,112.18726310443,0,0.33940419538,1.63923561676,2.0580545278,26,4,112.22007150443,15.9776908,0.87973481544,1.63923561676,0,0,0,318.6,-3,-5.4,0,0,1024,359,1024,1024,0,-100,0,0,318.59,0,112.18726310443,15.9448824,5,GPS_Blake
3000,51.5198059082031,5.86040163040161,15.9448824,15.8136488,96.373614304428,112.18726310443,0,0.137821676198,1.6989173772,2.16630912444,26,5,112.22007150443,15.9776908,0.87973481544,1.6989173772,0,0,0,318.6,-3,-7,0,0,1024,359,1024,1024,0,-100,0,0,318.59,0,112.18726310443,15.9448824,5,GPS_Blake
3200,51.5198059082031,5.86040163040161,15.9776908,15.8464572,96.373614304428,112.22007150443,0,0.63169396048,1.6989173772,2.16630912444,26,5,112.22007150443,15.9776908,0.87973481544,1.6989173772,0,0,0,318.6,-2.8,-6.5,0,0,1024,359,1024,1024,0,-100,0,0,318.6,0,112.22007150443,15.9776908,5,GPS_Blake
3400,51.5198020935059,5.86040067672729,15.9776908,15.8792656,96.340805904428,112.22007150443,0,1.0814262736,0.75777889564,3.5748360724,26,5,112.22007150443,15.9776908,1.0814262736,1.6989173772,0,0,0,318.6,-2.6,-6.2,0,0,1044,359,1024,1024,3,-100,0,0,318.6,0,112.22007150443,15.9776908,5,GPS_Blake
3600,51.5198020935059,5.86039924621582,15.9776908,15.9448824,96.275189104428,112.22007150443,0,1.4962108731,0.43301510572,3.899606424,26,5,112.22007150443,15.9776908,1.4962108731,1.6989173772,0,-0.223694,0,318.6,-2.6,-6,0,0,1044,359,1024,1024,3,-100,0,0,318.6,0,112.22007150443,15.9776908,5,GPS_Blake
3800,51.5198020935059,5.86039781570435,15.9776908,15.9448824,96.275189104428,112.22007150443,0,1.86350971028,0.108254268556,4.2243767756,26,5,112.22007150443,15.9776908,1.86350971028,1.6989173772,-0.223694,-0.223694,0,318.6,-2.6,-6,0,0,1024,474,1024,1024,0,-83,0,0,318.6,0,112.22007150443,15.9776908,5,GPS_Blake
4000,51.5198020935059,5.86039590835571,15.9776908,15.9776908,96.242380704428,112.22007150443,0,2.19796579438,0.324762477584,4.6573820388,26,5,112.22007150443,15.9776908,2.19796579438,1.6989173772,-0.223694,-0.223694,0,318.6,-2.3,-5.7,0,0,1024,1024,1024,1024,0,0,0,0,318.62,0,112.22007150443,15.9776908,5,GPS_Blake
4200,51.5198020935059,5.86039352416992,16.0104992,16.076116,96.176763904428,112.25287990443,0,2.03711638674,0.86603349228,5.198655022,26,5,112.25287990443,16.0104992,2.19796579438,1.6989173772,-0.223694,-0.223694,0,318.6,-2.2,7.2,0,0,1035,1689,1024,1024,2,100,0,0,318.62,0,112.25287990443,16.0104992,5,GPS_Blake
4400,51.5198020935059,5.86039161682129,16.0104992,16.1089244,96.143955504428,112.25287990443,0,1.3462016767,1.299048598,5.6316602852,26,5,112.25287990443,16.0104992,2.19796579438,1.6989173772,0,0,0,318.9,-2.1,7.8,0,0,1024,1689,1024,1024,0,100,0,0,318.62,0,112.25287990443,16.0104992,5,GPS_Blake
