time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
0,51.5194978685948,5.86063219732358,0,0,95.7433101504,95.7433101504,0,0,0,0,17,5,95.7433101504,0,0,0,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
100,51.5194978671517,5.8606321974047,0,0,95.7433101504,95.7433101504,0,0,0.0005268700956,0.0005268700956,17,5,95.7433101504,0,0,0.0005268700956,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
200,51.519497866558,5.86063219750042,0,0,95.7433101504,95.7433101504,0,0,0.00074423886896,0.00074456367212,17,5,95.7433101504,0,0,0.00074423886896,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
300,51.5194978796854,5.8606321693586,0,0,95.7433101504,95.7433101504,0,0,0.0075286419732,0.0087294622216,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
400,51.5194978801435,5.86063217031764,0,0,95.7433101504,95.7433101504,0,0,0.0074393375084,0.0090039044876,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
500,51.5194978805347,5.86063217134462,0,0,95.7433101504,95.7433101504,0,0,0.0073322836992,0.0092772968848,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
600,51.5194978775574,5.86063219486905,0,0,95.7433101504,95.7433101504,0,0,0.0033171260904,0.0147273298676,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
700,51.5194978779146,5.86063219467525,0,0,95.7433101504,95.7433101504,0,0,0.0034530512916,0.0148648626804,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
800,51.519497878263,5.86063219393328,0,0,95.7433101504,95.7433101504,0,0,0.003610400378,0.0150758863092,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
900,51.5194978603714,5.86063217983552,0,0,95.7433101504,95.7433101504,0,0,0.0049764109204,0.0223459980904,17,5,95.7433101504,0,0,0.0075286419732,0,0,0,235.5,-1,0.5,0,0,364,364,364,1684,-100,-100,-100,100,240,0,95.7433101504,0,6,P-GPS
